case_id,worker_count,lock_mode,id,job_type,status,created_at,enqueued_at,dequeued_at,completed_at,failed_at,latency_ms
2,1,FOR UPDATE,86,noop,completed,2026-02-22T00:39:06.152202Z,2026-02-22T00:39:06.152202Z,2026-02-22T00:40:23.169655Z,2026-02-22T00:40:23.526806Z,,77017.453
2,1,FOR UPDATE,87,noop,completed,2026-02-22T00:39:06.154538Z,2026-02-22T00:39:06.154538Z,2026-02-22T00:40:23.531697Z,2026-02-22T00:40:23.888659Z,,77377.159
2,1,FOR UPDATE,88,noop,completed,2026-02-22T00:39:06.157041Z,2026-02-22T00:39:06.157041Z,2026-02-22T00:40:23.891801Z,2026-02-22T00:40:24.24748Z,,77734.760
2,1,FOR UPDATE,89,noop,completed,2026-02-22T00:39:06.15945Z,2026-02-22T00:39:06.15945Z,2026-02-22T00:40:24.250854Z,2026-02-22T00:40:24.607169Z,,78091.404
2,1,FOR UPDATE,90,noop,completed,2026-02-22T00:39:06.162304Z,2026-02-22T00:39:06.162304Z,2026-02-22T00:40:24.610846Z,2026-02-22T00:40:24.969694Z,,78448.542
2,1,FOR UPDATE,91,noop,completed,2026-02-22T00:39:06.165073Z,2026-02-22T00:39:06.165073Z,2026-02-22T00:40:24.972434Z,2026-02-22T00:40:25.327941Z,,78807.361
2,1,FOR UPDATE,92,noop,completed,2026-02-22T00:39:06.167904Z,2026-02-22T00:39:06.167904Z,2026-02-22T00:40:25.330733Z,2026-02-22T00:40:25.685684Z,,79162.829
2,1,FOR UPDATE,93,noop,completed,2026-02-22T00:39:06.17071Z,2026-02-22T00:39:06.17071Z,2026-02-22T00:40:25.690701Z,2026-02-22T00:40:26.047527Z,,79519.991
2,1,FOR UPDATE,94,noop,completed,2026-02-22T00:39:06.176104Z,2026-02-22T00:39:06.176104Z,2026-02-22T00:40:26.051279Z,2026-02-22T00:40:26.407935Z,,79875.175
2,1,FOR UPDATE,95,noop,completed,2026-02-22T00:39:06.178143Z,2026-02-22T00:39:06.178143Z,2026-02-22T00:40:26.415039Z,2026-02-22T00:40:26.77065Z,,80236.896
2,1,FOR UPDATE,96,noop,completed,2026-02-22T00:39:06.18027Z,2026-02-22T00:39:06.18027Z,2026-02-22T00:40:26.773488Z,2026-02-22T00:40:27.128953Z,,80593.218
2,1,FOR UPDATE,97,noop,completed,2026-02-22T00:39:06.182804Z,2026-02-22T00:39:06.182804Z,2026-02-22T00:40:27.132317Z,2026-02-22T00:40:27.488512Z,,80949.513
2,1,FOR UPDATE,98,noop,completed,2026-02-22T00:39:06.185201Z,2026-02-22T00:39:06.185201Z,2026-02-22T00:40:27.492238Z,2026-02-22T00:40:27.848379Z,,81307.037
2,1,FOR UPDATE,99,noop,completed,2026-02-22T00:39:06.187543Z,2026-02-22T00:39:06.187543Z,2026-02-22T00:40:27.852003Z,2026-02-22T00:40:28.208336Z,,81664.460
2,1,FOR UPDATE,100,noop,completed,2026-02-22T00:39:06.189883Z,2026-02-22T00:39:06.189883Z,2026-02-22T00:40:28.215278Z,2026-02-22T00:40:28.570859Z,,82025.395
2,1,FOR UPDATE,101,noop,completed,2026-02-22T00:39:06.192732Z,2026-02-22T00:39:06.192732Z,2026-02-22T00:40:28.573711Z,2026-02-22T00:40:28.930244Z,,82380.979
2,1,FOR UPDATE,102,noop,completed,2026-02-22T00:39:06.195569Z,2026-02-22T00:39:06.195569Z,2026-02-22T00:40:28.935531Z,2026-02-22T00:40:29.29226Z,,82739.962
2,1,FOR UPDATE,103,noop,completed,2026-02-22T00:39:06.198294Z,2026-02-22T00:39:06.198294Z,2026-02-22T00:40:29.297968Z,2026-02-22T00:40:29.657606Z,,83099.674
2,1,FOR UPDATE,104,noop,completed,2026-02-22T00:39:06.201092Z,2026-02-22T00:39:06.201092Z,2026-02-22T00:40:29.663605Z,2026-02-22T00:40:30.022878Z,,83462.513
2,1,FOR UPDATE,105,noop,completed,2026-02-22T00:39:06.206698Z,2026-02-22T00:39:06.206698Z,2026-02-22T00:40:30.029749Z,2026-02-22T00:40:30.391012Z,,83823.051
2,1,FOR UPDATE,106,noop,completed,2026-02-22T00:39:06.208647Z,2026-02-22T00:39:06.208647Z,2026-02-22T00:40:30.396382Z,2026-02-22T00:40:30.755289Z,,84187.735
2,1,FOR UPDATE,107,noop,completed,2026-02-22T00:39:06.21076Z,2026-02-22T00:39:06.21076Z,2026-02-22T00:40:30.760106Z,2026-02-22T00:40:31.119071Z,,84549.346
2,1,FOR UPDATE,108,noop,completed,2026-02-22T00:39:06.212797Z,2026-02-22T00:39:06.212797Z,2026-02-22T00:40:31.125561Z,2026-02-22T00:40:31.484472Z,,84912.764
2,1,FOR UPDATE,109,noop,completed,2026-02-22T00:39:06.215449Z,2026-02-22T00:39:06.215449Z,2026-02-22T00:40:31.490492Z,2026-02-22T00:40:31.849826Z,,85275.043
2,1,FOR UPDATE,110,noop,completed,2026-02-22T00:39:06.217788Z,2026-02-22T00:39:06.217788Z,2026-02-22T00:40:31.85868Z,2026-02-22T00:40:32.215376Z,,85640.892
2,1,FOR UPDATE,111,noop,completed,2026-02-22T00:39:06.220174Z,2026-02-22T00:39:06.220174Z,2026-02-22T00:40:32.22043Z,2026-02-22T00:40:32.579281Z,,86000.256
2,1,FOR UPDATE,112,noop,completed,2026-02-22T00:39:06.22302Z,2026-02-22T00:39:06.22302Z,2026-02-22T00:40:32.584748Z,2026-02-22T00:40:32.944149Z,,86361.728
2,1,FOR UPDATE,113,noop,completed,2026-02-22T00:39:06.225785Z,2026-02-22T00:39:06.225785Z,2026-02-22T00:40:32.950308Z,2026-02-22T00:40:33.308517Z,,86724.523
2,1,FOR UPDATE,114,noop,completed,2026-02-22T00:39:06.228512Z,2026-02-22T00:39:06.228512Z,2026-02-22T00:40:33.31494Z,2026-02-22T00:40:33.673648Z,,87086.428
2,1,FOR UPDATE,115,noop,completed,2026-02-22T00:39:06.231328Z,2026-02-22T00:39:06.231328Z,2026-02-22T00:40:33.682925Z,2026-02-22T00:40:34.045398Z,,87451.597
2,1,FOR UPDATE,116,noop,completed,2026-02-22T00:39:06.237101Z,2026-02-22T00:39:06.237101Z,2026-02-22T00:40:34.050575Z,2026-02-22T00:40:34.407386Z,,87813.474
2,1,FOR UPDATE,117,noop,completed,2026-02-22T00:39:06.239127Z,2026-02-22T00:39:06.239127Z,2026-02-22T00:40:34.412066Z,2026-02-22T00:40:34.769826Z,,88172.939
2,1,FOR UPDATE,118,noop,completed,2026-02-22T00:39:06.241117Z,2026-02-22T00:39:06.241117Z,2026-02-22T00:40:34.775698Z,2026-02-22T00:40:35.133285Z,,88534.581
2,1,FOR UPDATE,119,noop,completed,2026-02-22T00:39:06.243158Z,2026-02-22T00:39:06.243158Z,2026-02-22T00:40:35.138727Z,2026-02-22T00:40:35.497957Z,,88895.569
2,1,FOR UPDATE,120,noop,completed,2026-02-22T00:39:06.245689Z,2026-02-22T00:39:06.245689Z,2026-02-22T00:40:35.503878Z,2026-02-22T00:40:35.862983Z,,89258.189
