case_id,worker_count,lock_mode,timestamp,timestamp_ms,workers_idle,workers_fetching,workers_processing
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:28.904887807Z,1771721908904,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:29.005275236Z,1771721909005,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:29.105651775Z,1771721909105,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:29.206031721Z,1771721909206,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:29.306381593Z,1771721909306,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:29.406765688Z,1771721909406,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:29.507098597Z,1771721909507,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:29.607428117Z,1771721909607,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:29.707783378Z,1771721909707,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:29.808188973Z,1771721909808,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:29.908568382Z,1771721909908,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:30.008935328Z,1771721910008,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:30.109313884Z,1771721910109,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:30.20970794Z,1771721910209,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:30.310058274Z,1771721910310,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:30.410438219Z,1771721910410,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:30.510760108Z,1771721910510,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:30.611116609Z,1771721910611,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:30.711477868Z,1771721910711,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:30.811813999Z,1771721910811,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:30.912157443Z,1771721910912,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:31.012486925Z,1771721911012,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:31.112817628Z,1771721911112,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:31.213239405Z,1771721911213,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:31.313593534Z,1771721911313,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:31.414069421Z,1771721911414,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:31.51442442Z,1771721911514,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:31.614752623Z,1771721911614,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:31.715180326Z,1771721911715,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:31.815566473Z,1771721911815,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:31.915932139Z,1771721911915,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:32.016262453Z,1771721912016,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:32.116590895Z,1771721912116,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:32.216935207Z,1771721912216,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:32.317278242Z,1771721912317,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:32.417639795Z,1771721912417,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:32.518003441Z,1771721912518,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:32.618365253Z,1771721912618,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:32.718723232Z,1771721912718,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:32.819080082Z,1771721912819,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:32.919407672Z,1771721912919,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:33.019734559Z,1771721913019,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:33.120057018Z,1771721913120,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:33.220438588Z,1771721913220,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:33.320795584Z,1771721913320,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:33.421098766Z,1771721913421,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:33.521415244Z,1771721913521,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:33.62176224Z,1771721913621,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:33.722101477Z,1771721913722,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:33.822231066Z,1771721913822,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:33.923294803Z,1771721913923,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:34.02363878Z,1771721914023,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:34.124391183Z,1771721914124,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:34.225408549Z,1771721914225,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:34.325768451Z,1771721914325,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:34.426045798Z,1771721914426,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:34.526346329Z,1771721914526,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:34.626730861Z,1771721914626,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:34.72710893Z,1771721914727,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:34.827421536Z,1771721914827,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:34.927764013Z,1771721914927,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:35.028161693Z,1771721915028,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:35.128894983Z,1771721915128,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:35.229242217Z,1771721915229,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:35.329548192Z,1771721915329,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:35.429844093Z,1771721915429,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:35.53011729Z,1771721915530,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:35.630402543Z,1771721915630,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:35.730702481Z,1771721915730,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:35.831010733Z,1771721915831,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:35.931315597Z,1771721915931,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:36.031649942Z,1771721916031,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:36.132011008Z,1771721916132,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:36.232371464Z,1771721916232,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:36.332751511Z,1771721916332,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:36.433093429Z,1771721916433,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:36.533389458Z,1771721916533,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:36.633699339Z,1771721916633,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:36.733995202Z,1771721916733,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:36.834323083Z,1771721916834,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:36.934600464Z,1771721916934,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:37.034915882Z,1771721917034,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:37.135259132Z,1771721917135,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:37.235584882Z,1771721917235,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:37.335871984Z,1771721917335,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:37.436205067Z,1771721917436,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:37.536513761Z,1771721917536,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:37.636829845Z,1771721917636,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:37.73723791Z,1771721917737,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:37.837564493Z,1771721917837,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:37.937989262Z,1771721917937,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:38.038323993Z,1771721918038,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:38.138674334Z,1771721918138,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:38.239006805Z,1771721918239,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:38.339348313Z,1771721918339,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:38.43974508Z,1771721918439,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:38.540086755Z,1771721918540,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:38.640435244Z,1771721918640,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:38.740883733Z,1771721918740,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:38.841356815Z,1771721918841,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:38.941724416Z,1771721918941,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:39.042119405Z,1771721919042,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:39.142521949Z,1771721919142,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:39.242944029Z,1771721919242,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:39.34324074Z,1771721919343,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:39.443551505Z,1771721919443,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:39.543849568Z,1771721919543,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:39.644160759Z,1771721919644,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:39.744479803Z,1771721919744,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:39.844788383Z,1771721919844,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:39.945119871Z,1771721919945,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:40.045507415Z,1771721920045,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:40.145862846Z,1771721920145,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:40.246275814Z,1771721920246,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:40.34655606Z,1771721920346,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:40.44683838Z,1771721920446,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:40.547106033Z,1771721920547,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:40.647391464Z,1771721920647,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:40.74768321Z,1771721920747,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:40.847984475Z,1771721920847,0,0,32
